"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllOpenStoreProv\Ldap,FuncName,String,LdapProvOpenStore
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CertDllProtectedRootMessageBox\DEFAULT,Dll,MultiString,C:\Windows\SysWOW64\cryptui.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindLocalizedName\LocalizedNames,EKCA,String,"@%SystemRoot%\System32\CertCA.dll,-305"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindLocalizedName\LocalizedNames,EKROOT,String,"@%SystemRoot%\System32\CertCA.dll,-304"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindLocalizedName\LocalizedNames,Remote Desktop,String,"@%SystemRoot%\System32\SessEnv.dll,-101"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindLocalizedName\LocalizedNames,TrustedDevices,String,"@%systemroot%\system32\wsdapi.dll,-200"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindOIDInfo\1.3.6.1.4.1.311.60.3.1!7,Name,String,szOID_ROOT_PROGRAM_AUTO_UPDATE_CA_REVOCATION
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindOIDInfo\1.3.6.1.4.1.311.60.3.2!7,Name,String,szOID_ROOT_PROGRAM_AUTO_UPDATE_END_REVOCATION
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindOIDInfo\1.3.6.1.4.1.311.60.3.3!7,Name,String,szOID_ROOT_PROGRAM_NO_OCSP_FAILOVER_TO_CRL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindOIDInfo\1.3.6.1.4.1.311.64.1.1!7,Name,String,"@%SystemRoot%\system32\dnsapi.dll,-103"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllFindOIDInfo\1.3.6.1.4.1.311.80.1!7,Name,String,"@%SystemRoot%\system32\WindowsPowerShell\v1.0\powershell.exe,-124"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptDllProtectPrompt\DEFAULT,Dll,MultiString,C:\Windows\SysWOW64\cryptui.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{000C10F1-0000-0000-C000-000000000046},Dll,String,C:\Windows\SysWOW64\MSISIP.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{000C10F1-0000-0000-C000-000000000046},FuncName,String,MsiSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{06C9E010-38CE-11D4-A2A3-00104BD35090},Dll,String,C:\Windows\SysWOW64\wshext.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{06C9E010-38CE-11D4-A2A3-00104BD35090},FuncName,String,CreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{0AC5DF4B-CE07-4DE2-B76E-23C839A09FD1},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{0AC5DF4B-CE07-4DE2-B76E-23C839A09FD1},FuncName,String,AppxSipCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{0F5F58B3-AADE-4B9A-A434-95742D92ECEB},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{0F5F58B3-AADE-4B9A-A434-95742D92ECEB},FuncName,String,AppxBundleSipCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{1629F04E-2799-4DB5-8FE5-ACE10F17EBAB},Dll,String,C:\Windows\SysWOW64\wshext.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{1629F04E-2799-4DB5-8FE5-ACE10F17EBAB},FuncName,String,CreateIndirectData
