"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\0f0a4bf8-8362-435d-938c-222a518a8b78,Name,String,Default Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\49e52265-9c80-4b84-a9d5-7ecf311036ac,CLSID,String,13ea11a6-8e1a-40ce-9ea9-03e82b3ed5d9
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\49e52265-9c80-4b84-a9d5-7ecf311036ac,Description,String,Hybrid Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\49e52265-9c80-4b84-a9d5-7ecf311036ac,fAcceptConnection,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\49e52265-9c80-4b84-a9d5-7ecf311036ac,Name,String,Hybrid Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\88f5767d-d13f-404d-a348-8b8e030294a9,CLSID,String,2be8bdbb-be09-499d-9a4b-4637e09ae00b
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\88f5767d-d13f-404d-a348-8b8e030294a9,Description,String,Default Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\88f5767d-d13f-404d-a348-8b8e030294a9,fAcceptConnection,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\88f5767d-d13f-404d-a348-8b8e030294a9,Name,String,Default Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,Callback,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,CallbackNumber,String,
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,Domain,String,
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritAutoLogon,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritCallback,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritCallbackNumber,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritInitialProgram,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritMaxDisconnectionTime,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritMaxIdleTime,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritMaxSessionTime,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritReconnectSame,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritResetBroken,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fInheritShadow,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fLogonDisabled,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration,fPromptForPassword,DWord,"00000000"
